Year,Jurisdiction,All students,Average scale score
2015,National,All students,282
2015,Alabama,All students,267
2015,Alaska,All students,280
2015,Arizona,All students,283
2015,Arkansas,All students,275
2015,California,All students,275
2015,Colorado,All students,286
2015,Connecticut,All students,284
2015,Delaware,All students,280
2015,District of Columbia,All students,263
2015,DoDEA,All students,291
2015,Florida,All students,275
2015,Georgia,All students,279
2015,Hawaii,All students,279
2015,Idaho,All students,284
2015,Illinois,All students,282
2015,Indiana,All students,287
2015,Iowa,All students,286
2015,Kansas,All students,284
2015,Kentucky,All students,278
2015,Louisiana,All students,268
2015,Maine,All students,285
2015,Maryland,All students,283
2015,Massachusetts,All students,297
2015,Michigan,All students,278
2015,Minnesota,All students,294
2015,Mississippi,All students,271
2015,Missouri,All students,281
2015,Montana,All students,287
2015,Nebraska,All students,286
2015,Nevada,All students,275
2015,New Hampshire,All students,294
2015,New Jersey,All students,293
2015,New Mexico,All students,271
2015,New York,All students,280
2015,North Carolina,All students,281
2015,North Dakota,All students,288
2015,Ohio,All students,285
2015,Oklahoma,All students,275
2015,Oregon,All students,283
2015,Pennsylvania,All students,284
2015,Rhode Island,All students,281
2015,South Carolina,All students,276
2015,South Dakota,All students,285
2015,Tennessee,All students,278
2015,Texas,All students,284
2015,Utah,All students,286
2015,Vermont,All students,290
2015,Virginia,All students,288
2015,Washington,All students,287
2015,West Virginia,All students,271
2015,Wisconsin,All students,289
2015,Wyoming,All students,287
2013,National,All students,285
2013,Alabama,All students,269
2013,Alaska,All students,282
2013,Arizona,All students,280
2013,Arkansas,All students,278
2013,California,All students,276
2013,Colorado,All students,290
2013,Connecticut,All students,285
2013,Delaware,All students,282
2013,District of Columbia,All students,265
2013,DoDEA,All students,290
2013,Florida,All students,281
2013,Georgia,All students,279
2013,Hawaii,All students,281
2013,Idaho,All students,286
2013,Illinois,All students,285
2013,Indiana,All students,288
2013,Iowa,All students,285
2013,Kansas,All students,290
2013,Kentucky,All students,281
2013,Louisiana,All students,273
2013,Maine,All students,289
2013,Maryland,All students,287
2013,Massachusetts,All students,301
2013,Michigan,All students,280
2013,Minnesota,All students,295
2013,Mississippi,All students,271
2013,Missouri,All students,283
2013,Montana,All students,289
2013,Nebraska,All students,285
2013,Nevada,All students,278
2013,New Hampshire,All students,296
2013,New Jersey,All students,296
2013,New Mexico,All students,273
2013,New York,All students,282
2013,North Carolina,All students,286
2013,North Dakota,All students,291
2013,Ohio,All students,290
2013,Oklahoma,All students,276
2013,Oregon,All students,284
2013,Pennsylvania,All students,290
2013,Rhode Island,All students,284
2013,South Carolina,All students,280
2013,South Dakota,All students,287
2013,Tennessee,All students,278
2013,Texas,All students,288
2013,Utah,All students,284
2013,Vermont,All students,295
2013,Virginia,All students,288
2013,Washington,All students,290
2013,West Virginia,All students,274
2013,Wisconsin,All students,289
2013,Wyoming,All students,288
2011,National,All students,284
2011,Alabama,All students,269
2011,Alaska,All students,283
2011,Arizona,All students,279
2011,Arkansas,All students,279
2011,California,All students,273
2011,Colorado,All students,292
2011,Connecticut,All students,287
2011,Delaware,All students,283
2011,District of Columbia,All students,260
2011,DoDEA,All students,288
2011,Florida,All students,278
2011,Georgia,All students,278
2011,Hawaii,All students,278
2011,Idaho,All students,287
2011,Illinois,All students,283
2011,Indiana,All students,285
2011,Iowa,All students,285
2011,Kansas,All students,290
2011,Kentucky,All students,282
2011,Louisiana,All students,273
2011,Maine,All students,289
2011,Maryland,All students,288
2011,Massachusetts,All students,299
2011,Michigan,All students,280
2011,Minnesota,All students,295
2011,Mississippi,All students,269
2011,Missouri,All students,282
2011,Montana,All students,293
2011,Nebraska,All students,283
2011,Nevada,All students,278
2011,New Hampshire,All students,292
2011,New Jersey,All students,294
2011,New Mexico,All students,274
2011,New York,All students,280
2011,North Carolina,All students,286
2011,North Dakota,All students,292
2011,Ohio,All students,289
2011,Oklahoma,All students,279
2011,Oregon,All students,283
2011,Pennsylvania,All students,286
2011,Rhode Island,All students,283
2011,South Carolina,All students,281
2011,South Dakota,All students,291
2011,Tennessee,All students,274
2011,Texas,All students,290
2011,Utah,All students,283
2011,Vermont,All students,294
2011,Virginia,All students,289
2011,Washington,All students,288
2011,West Virginia,All students,273
2011,Wisconsin,All students,289
2011,Wyoming,All students,288
2009,National,All students,283
2009,Alabama,All students,269
2009,Alaska,All students,283
2009,Arizona,All students,277
2009,Arkansas,All students,276
2009,California,All students,270
2009,Colorado,All students,287
2009,Connecticut,All students,289
2009,Delaware,All students,284
2009,District of Columbia,All students,254
2009,DoDEA,All students,287
2009,Florida,All students,279
2009,Georgia,All students,278
2009,Hawaii,All students,274
2009,Idaho,All students,287
2009,Illinois,All students,282
2009,Indiana,All students,287
2009,Iowa,All students,284
2009,Kansas,All students,289
2009,Kentucky,All students,279
2009,Louisiana,All students,272
2009,Maine,All students,286
2009,Maryland,All students,288
2009,Massachusetts,All students,299
2009,Michigan,All students,278
2009,Minnesota,All students,294
2009,Mississippi,All students,265
2009,Missouri,All students,286
2009,Montana,All students,292
2009,Nebraska,All students,284
2009,Nevada,All students,274
2009,New Hampshire,All students,292
2009,New Jersey,All students,293
2009,New Mexico,All students,270
2009,New York,All students,283
2009,North Carolina,All students,284
2009,North Dakota,All students,293
2009,Ohio,All students,286
2009,Oklahoma,All students,276
2009,Oregon,All students,285
2009,Pennsylvania,All students,288
2009,Rhode Island,All students,278
